Model,Batch,Alpha,Eval,Lang,Average,Std
multiflair,16,0.1,Recall,Deutsch,0.5,0.009849999999999998
multiflair,32,0.1,Recall,Deutsch,0.43,0.005649999999999988
multiflair,64,0.1,Recall,Deutsch,0.38,0.0015499999999999958
multiflair,16,0.15,Recall,Deutsch,0.55,0.013649999999999995
multiflair,32,0.15,Recall,Deutsch,0.48,0.012899999999999995
multiflair,64,0.15,Recall,Deutsch,0.39,0.01100000000000001
multiflair,16,0.2,Recall,Deutsch,0.58,0.005299999999999971
multiflair,32,0.2,Recall,Deutsch,0.5,0.016350000000000003
multiflair,64,0.2,Recall,Deutsch,0.44,0.0007500000000000007
bert,16,0.05,Recall,Deutsch,0.66,0.006850000000000023
bert,32,0.05,Recall,Deutsch,0.63,0.0010999999999999899
bert,64,0.05,Recall,Deutsch,0.59,0.0011499999999999844
bert,16,0.1,Recall,Deutsch,0.68,0.0022999999999999687
bert,32,0.1,Recall,Deutsch,0.67,0.00040000000000001146
bert,64,0.1,Recall,Deutsch,0.64,0.0
bert,16,0.15,Recall,Deutsch,0.69,0.007950000000000013
bert,32,0.15,Recall,Deutsch,0.68,0.0045499999999999985
bert,64,0.15,Recall,Deutsch,0.66,0.0041500000000000425
bert,16,0.2,Recall,Deutsch,0.69,0.0018999999999999573
bert,32,0.2,Recall,Deutsch,0.69,0.01100000000000001
bert,64,0.2,Recall,Deutsch,0.66,0.0030000000000000027
roberta,16,0.05,Recall,Deutsch,0.73,0.0019000000000000128
roberta,32,0.05,Recall,Deutsch,0.71,0.0007500000000000284
roberta,64,0.05,Recall,Deutsch,0.68,0.0045499999999999985
roberta,16,0.1,Recall,Deutsch,0.75,0.008699999999999986
roberta,32,0.1,Recall,Deutsch,0.73,0.007949999999999957
roberta,64,0.1,Recall,Deutsch,0.71,0.005699999999999983
roberta,16,0.15,Recall,Deutsch,0.77,0.005299999999999971
roberta,32,0.15,Recall,Deutsch,0.75,0.016699999999999993
roberta,64,0.15,Recall,Deutsch,0.73,0.01479999999999998
roberta,16,0.2,Recall,Deutsch,0.77,0.0015000000000000013
roberta,32,0.2,Recall,Deutsch,0.76,0.0022500000000000298
roberta,64,0.2,Recall,Deutsch,0.74,0.013649999999999995
multiflair,16,0.05,Accuracy,Deutsch,0.95,0.0012999999999999678
multiflair,32,0.05,Accuracy,Deutsch,0.94,9.999999999998899e-05
multiflair,64,0.05,Accuracy,Deutsch,0.94,0.00045000000000000595
multiflair,16,0.1,Accuracy,Deutsch,0.95,0.0005499999999999949
multiflair,32,0.1,Accuracy,Deutsch,0.95,0.0005999999999999894
multiflair,64,0.1,Accuracy,Deutsch,0.94,4.999999999999449e-05
multiflair,16,0.15,Accuracy,Deutsch,0.96,0.0009000000000000119
multiflair,32,0.15,Accuracy,Deutsch,0.95,0.0011000000000000454
multiflair,64,0.15,Accuracy,Deutsch,0.95,0.0007999999999999674
multiflair,16,0.2,Accuracy,Deutsch,0.96,4.999999999999449e-05
multiflair,32,0.2,Accuracy,Deutsch,0.95,0.0011999999999999789
multiflair,64,0.2,Accuracy,Deutsch,0.95,0.00030000000000002247
bert,16,0.05,Accuracy,Deutsch,0.96,0.0009500000000000064
bert,32,0.05,Accuracy,Deutsch,0.96,0.00035000000000001696
bert,64,0.05,Accuracy,Deutsch,0.96,0.00014999999999998348
bert,16,0.1,Accuracy,Deutsch,0.97,0.000250000000000028
bert,32,0.1,Accuracy,Deutsch,0.97,0.00030000000000002247
bert,64,0.1,Accuracy,Deutsch,0.96,0.00034999999999996145
bert,16,0.15,Accuracy,Deutsch,0.97,0.0006999999999999784
bert,32,0.15,Accuracy,Deutsch,0.97,0.0007000000000000339
bert,64,0.15,Accuracy,Deutsch,0.96,0.00039999999999995595
bert,16,0.2,Accuracy,Deutsch,0.97,0.00014999999999998348
bert,32,0.2,Accuracy,Deutsch,0.97,0.0010000000000000009
bert,64,0.2,Accuracy,Deutsch,0.97,0.00045000000000000595
roberta,16,0.05,Accuracy,Deutsch,0.97,0.00019999999999997797
roberta,32,0.05,Accuracy,Deutsch,0.97,4.999999999999449e-05
roberta,64,0.05,Accuracy,Deutsch,0.97,0.00030000000000002247
roberta,16,0.1,Accuracy,Deutsch,0.97,0.0006499999999999839
roberta,32,0.1,Accuracy,Deutsch,0.97,0.0005999999999999894
roberta,64,0.1,Accuracy,Deutsch,0.97,0.00040000000000001146
roberta,16,0.15,Accuracy,Deutsch,0.97,0.00045000000000000595
roberta,32,0.15,Accuracy,Deutsch,0.97,0.0013000000000000234
roberta,64,0.15,Accuracy,Deutsch,0.97,0.0014000000000000123
roberta,16,0.2,Accuracy,Deutsch,0.97,0.00019999999999997797
roberta,32,0.2,Accuracy,Deutsch,0.97,0.00024999999999997247
roberta,64,0.2,Accuracy,Deutsch,0.97,0.0009500000000000064
multiflair,16,0.05,F1-Werte (micro),Englisch,0.71,0.020199999999999996
multiflair,32,0.05,F1-Werte (micro),Englisch,0.62,0.0047499999999999765
multiflair,64,0.05,F1-Werte (micro),Englisch,0.58,0.0048000000000000265
multiflair,16,0.1,F1-Werte (micro),Englisch,0.77,0.0026499999999999857
multiflair,32,0.1,F1-Werte (micro),Englisch,0.71,0.010149999999999992
multiflair,64,0.1,F1-Werte (micro),Englisch,0.67,0.0020999999999999908
multiflair,16,0.15,F1-Werte (micro),Englisch,0.79,0.0048499999999999654
multiflair,32,0.15,F1-Werte (micro),Englisch,0.75,0.005400000000000016
multiflair,64,0.15,F1-Werte (micro),Englisch,0.68,0.012249999999999983
multiflair,16,0.2,F1-Werte (micro),Englisch,0.8,0.0025499999999999967
multiflair,32,0.2,F1-Werte (micro),Englisch,0.76,0.008500000000000008
multiflair,64,0.2,F1-Werte (micro),Englisch,0.73,0.0010499999999999954
bert,16,0.05,F1-Werte (micro),Englisch,0.82,0.0012499999999999734
bert,32,0.05,F1-Werte (micro),Englisch,0.8,0.0010499999999999954
bert,64,0.05,F1-Werte (micro),Englisch,0.77,0.0009500000000000064
bert,16,0.1,F1-Werte (micro),Englisch,0.83,0.0019500000000000073
bert,32,0.1,F1-Werte (micro),Englisch,0.83,0.000250000000000028
bert,64,0.1,F1-Werte (micro),Englisch,0.8,0.0020499999999999963
bert,16,0.15,F1-Werte (micro),Englisch,0.84,0.0015000000000000013
bert,32,0.15,F1-Werte (micro),Englisch,0.83,0.003149999999999986
bert,64,0.15,F1-Werte (micro),Englisch,0.81,0.005599999999999994
bert,16,0.2,F1-Werte (micro),Englisch,0.84,0.0015499999999999958
bert,32,0.2,F1-Werte (micro),Englisch,0.84,0.0041999999999999815
bert,64,0.2,F1-Werte (micro),Englisch,0.82,0.0012499999999999734
roberta,16,0.05,F1-Werte (micro),Englisch,0.84,0.00040000000000001146
roberta,32,0.05,F1-Werte (micro),Englisch,0.83,0.0018000000000000238
roberta,64,0.05,F1-Werte (micro),Englisch,0.8,4.999999999999449e-05
roberta,16,0.1,F1-Werte (micro),Englisch,0.85,0.006099999999999994
roberta,32,0.1,F1-Werte (micro),Englisch,0.84,0.0043500000000000205
roberta,64,0.1,F1-Werte (micro),Englisch,0.83,0.00014999999999998348
roberta,16,0.15,F1-Werte (micro),Englisch,0.87,0.00040000000000001146
roberta,32,0.15,F1-Werte (micro),Englisch,0.85,0.005850000000000022
roberta,64,0.15,F1-Werte (micro),Englisch,0.84,0.003950000000000009
roberta,16,0.2,F1-Werte (micro),Englisch,0.86,0.0020999999999999908
roberta,32,0.2,F1-Werte (micro),Englisch,0.86,0.0027499999999999747
roberta,64,0.2,F1-Werte (micro),Englisch,0.85,0.006199999999999983
multiflair,16,0.05,Precision,Englisch,0.81,0.00824999999999998
multiflair,32,0.05,Precision,Englisch,0.75,0.0012500000000000289
multiflair,64,0.05,Precision,Englisch,0.73,0.003049999999999997
multiflair,16,0.1,Precision,Englisch,0.82,0.004049999999999998
multiflair,32,0.1,Precision,Englisch,0.8,0.006950000000000012
multiflair,64,0.1,Precision,Englisch,0.78,0.0006499999999999839
multiflair,16,0.15,Precision,Englisch,0.83,0.00024999999999997247
multiflair,32,0.15,Precision,Englisch,0.82,0.0014500000000000068
multiflair,64,0.15,Precision,Englisch,0.79,0.006099999999999994
multiflair,16,0.2,Precision,Englisch,0.83,0.0015999999999999903
multiflair,32,0.2,Precision,Englisch,0.82,0.0013000000000000234
multiflair,64,0.2,Precision,Englisch,0.81,0.00034999999999996145
bert,16,0.05,Precision,Englisch,0.86,0.0006499999999999839
bert,32,0.05,Precision,Englisch,0.85,0.0010499999999999954
bert,64,0.05,Precision,Englisch,0.83,0.0018500000000000183
bert,16,0.1,Precision,Englisch,0.86,0.0019500000000000073
bert,32,0.1,Precision,Englisch,0.86,0.000150000000000039
bert,64,0.1,Precision,Englisch,0.84,0.0012500000000000289
bert,16,0.15,Precision,Englisch,0.87,0.0008999999999999564
bert,32,0.15,Precision,Englisch,0.86,0.0023999999999999577
bert,64,0.15,Precision,Englisch,0.85,0.003599999999999992
bert,16,0.2,Precision,Englisch,0.87,0.0010499999999999954
bert,32,0.2,Precision,Englisch,0.87,0.003500000000000003
bert,64,0.2,Precision,Englisch,0.86,0.0024500000000000077
roberta,16,0.05,Precision,Englisch,0.87,9.999999999998899e-05
roberta,32,0.05,Precision,Englisch,0.87,0.002950000000000008
roberta,64,0.05,Precision,Englisch,0.85,0.0030000000000000027
roberta,16,0.1,Precision,Englisch,0.88,0.002799999999999969
roberta,32,0.1,Precision,Englisch,0.87,0.0023500000000000187
roberta,64,0.1,Precision,Englisch,0.87,0.00040000000000001146
roberta,16,0.15,Precision,Englisch,0.88,0.0006999999999999784
roberta,32,0.15,Precision,Englisch,0.88,0.0017499999999999738
roberta,64,0.15,Precision,Englisch,0.87,0.0005999999999999894
roberta,16,0.2,Precision,Englisch,0.88,0.0017499999999999738
roberta,32,0.2,Precision,Englisch,0.88,0.0030999999999999917
roberta,64,0.2,Precision,Englisch,0.87,0.002899999999999958
multiflair,16,0.05,Recall,Englisch,0.64,0.02729999999999999
multiflair,32,0.05,Recall,Englisch,0.52,0.006249999999999978
multiflair,64,0.05,Recall,Englisch,0.49,0.005299999999999999
multiflair,16,0.1,Recall,Englisch,0.72,0.0015499999999999958
multiflair,32,0.1,Recall,Englisch,0.64,0.0121
multiflair,64,0.1,Recall,Englisch,0.58,0.0036499999999999866
multiflair,16,0.15,Recall,Englisch,0.75,0.008550000000000002
multiflair,32,0.15,Recall,Englisch,0.69,0.008199999999999985
multiflair,64,0.15,Recall,Englisch,0.6,0.015500000000000014
multiflair,16,0.2,Recall,Englisch,0.77,0.0033500000000000196
multiflair,32,0.2,Recall,Englisch,0.72,0.01595000000000002
multiflair,64,0.2,Recall,Englisch,0.66,0.0019500000000000073
bert,16,0.05,Recall,Englisch,0.79,0.002799999999999969
